"IndID","Sex","Source","Region","Population","Ancestry","IndLab"
"ARI-001","F","ChileGenomico","FarNorth","Arica","Aymara","ARI-001"
"ARI-002","F","ChileGenomico","FarNorth","Arica","Aymara","ARI-002"
"ARI-003","F","ChileGenomico","FarNorth","Arica","Aymara","ARI-003"
"ARI-004","M","ChileGenomico","FarNorth","Arica","Aymara","ARI-004"
"ARI-008","M","ChileGenomico","FarNorth","Arica","Aymara","ARI-008"
"ARI-010","F","ChileGenomico","FarNorth","Arica","Chilean","ARI-010"
"ARI-014","M","ChileGenomico","FarNorth","Arica","Aymara","ARI-014"
"ARI-017","F","ChileGenomico","FarNorth","Arica","Aymara","ARI-017"
"ARI-019","F","ChileGenomico","FarNorth","Arica","Aymara","ARI-019"
"ARI-021","M","ChileGenomico","FarNorth","Arica","Aymara","ARI-021"
"ARI-022","M","ChileGenomico","FarNorth","Arica","Aymara","ARI-022"
"CDSJ-021","M","ChileGenomico","SantiagoPublic","Santiago","Aymara","CDSJ-021"
"CDSJ-344","M","ChileGenomico","SantiagoPublic","O'Higgins","Mapuche","CDSJ-344"
"ARI001","F","CLG_Axiom48","AYM","Arica","Aymara","ARI-001"
"ARI002","F","CLG_Axiom48","AYM","Arica","Aymara","ARI-002"
"ARI003","F","CLG_Axiom48","AYM","Arica","Aymara","ARI-003"
"ARI004","M","CLG_Axiom48","AYM","Arica","Aymara","ARI-004"
"ARI006","M","CLG_Axiom48","AYM","Arica","Aymara","ARI-006"
"ARI008","M","CLG_Axiom48","AYM","Arica","Aymara","ARI-008"
"ARI010","F","CLG_Axiom48","AYM","Arica","Aymara","ARI-010"
"ARI013","M","CLG_Axiom48","AYM","Arica","Aymara","ARI-013"
"ARI014","M","CLG_Axiom48","AYM","Arica","Aymara","ARI-014"
"ARI015","F","CLG_Axiom48","AYM","Tarapacá","Aymara","ARI-015"
"ARI017","F","CLG_Axiom48","AYM","Arica","Aymara","ARI-017"
"ARI018","M","CLG_Axiom48","AYM","Arica","Aymara","ARI-018"
"ARI019","F","CLG_Axiom48","AYM","Arica","Aymara","ARI-019"
"ARI021","M","CLG_Axiom48","AYM","Arica","Aymara","ARI-021"
"ARI022","F","CLG_Axiom48","AYM","Arica","Aymara","ARI-022"
"ARI023","M","CLG_Axiom48","AYM","NS","Aymara","ARI-023"
"CDSJ020","F","CLG_Axiom48","MAP","Santiago","Mapuche","CDSJ-020"
"CDSJ021","M","CLG_Axiom48","MAP","Santiago","Aymara","CDSJ-021"
"CDSJ032","F","CLG_Axiom48","MAP","Coquimbo","No","CDSJ-032"
"CDSJ046","M","CLG_Axiom48","MAP","Santiago","Mapuche","CDSJ-046"
"CDSJ048","F","CLG_Axiom48","MAP","Santiago","Mapuche","CDSJ-048"
"CDSJ099","M","CLG_Axiom48","MAP","Araucanía","No","CDSJ-099"
"CDSJ106","F","CLG_Axiom48","MAP","Araucanía","Mapuche","CDSJ-106"
"CDSJ108","F","CLG_Axiom48","MAP","Araucanía","Mapuche","CDSJ-108"
"CDSJ118","F","CLG_Axiom48","MAP","Santiago","Mapuche","CDSJ-118"
"CDSJ122","F","CLG_Axiom48","MAP","Los Ríos","Mapuche","CDSJ-122"
"CDSJ157","M","CLG_Axiom48","MAP","Santiago","Mapuche","CDSJ-157"
"CDSJ167","F","CLG_Axiom48","MAP","Santiago","Mapuche","CDSJ-167"
"CDSJ174","M","CLG_Axiom48","MAP","Santiago","Mapuche","CDSJ-174"
"CDSJ175","M","CLG_Axiom48","MAP","Biobío","Mapuche","CDSJ-175"
"CDSJ176","M","CLG_Axiom48","MAP","Biobío","Mapuche","CDSJ-176"
"CDSJ177","M","CLG_Axiom48","MAP","Biobío","Mapuche","CDSJ-177"
"CDSJ262","F","CLG_Axiom48","MAP","Rancagua","Mapuche","CDSJ-262"
"CDSJ283","M","CLG_Axiom48","MAP","Araucanía","Mapuche","CDSJ-283"
"CDSJ284","M","CLG_Axiom48","MAP","Araucanía","Mapuche","CDSJ-284"
"CDSJ297","M","CLG_Axiom48","MAP","Araucanía","Mapuche","CDSJ-297"
"CDSJ299","M","CLG_Axiom48","MAP","Biobío","Mapuche","CDSJ-299"
"CDSJ321","M","CLG_Axiom48","MAP","Araucanía","Mapuche","CDSJ-321"
"CDSJ344","M","CLG_Axiom48","MAP","Rancagua","Mapuche","CDSJ-344"
"CDSJ347","M","CLG_Axiom48","MAP","Santiago","Mapuche","CDSJ-347"
"CDSJ361","M","CLG_Axiom48","MAP","Araucanía","Mapuche","CDSJ-361"
"CDSJ372","F","CLG_Axiom48","MAP","Santiago","Mapuche","CDSJ-372"
"CDSJ400","M","CLG_Axiom48","MAP","Los Lagos","No","CDSJ-400"
"CDSJ403","F","CLG_Axiom48","MAP","Santiago","No","CDSJ-403"
"CDSJ417","F","CLG_Axiom48","MAP","Santiago","Mapuche","CDSJ-417"
"CDSJ469","F","CLG_Axiom48","MAP","Santiago","Mapuche","CDSJ-469"
"CDSJ471","M","CLG_Axiom48","MAP","Araucanía","Mapuche","CDSJ-471"
"CDSJ472","M","CLG_Axiom48","MAP","Araucanía","Mapuche","CDSJ-472"
