oldFID	oldIID	IID_STD
CDSJ177	CDSJ177	CDSJ177
CDSJ021	CDSJ021	CDSJ021
ARI006	ARI006	ARI006
ARI021	ARI021	ARI021
ARI022	ARI022	ARI022
CDSJ174	CDSJ174	CDSJ174
CDSJ175	CDSJ175	CDSJ175
CDSJ046	CDSJ046	CDSJ046
CDSJ176	CDSJ176	CDSJ176
CDSJ469	CDSJ469	CDSJ469
ARI003	ARI003	ARI003
CDSJ472	CDSJ472	CDSJ472
CDSJ157	CDSJ157	CDSJ157
ARI018	ARI018	ARI018
ARI010	ARI010	ARI010
CDSJ372	CDSJ372	CDSJ372
CDSJ262	CDSJ262	CDSJ262
CDSJ099	CDSJ099	CDSJ099
CDSJ361	CDSJ361	CDSJ361
CDSJ297	CDSJ297	CDSJ297
ARI004	ARI004	ARI004
CDSJ403	CDSJ403	CDSJ403
CDSJ122	CDSJ122	CDSJ122
CDSJ020	CDSJ020	CDSJ020
CDSJ283	CDSJ283	CDSJ283
CDSJ118	CDSJ118	CDSJ118
CDSJ299	CDSJ299	CDSJ299
CDSJ347	CDSJ347	CDSJ347
CDSJ284	CDSJ284	CDSJ284
CDSJ471	CDSJ471	CDSJ471
ARI017	ARI017	ARI017
ARI002	ARI002	ARI002
CDSJ400	CDSJ400	CDSJ400
ARI013	ARI013	ARI013
ARI023	ARI023	ARI023
ARI015	ARI015	ARI015
ARI001	ARI001	ARI001
CDSJ048	CDSJ048	CDSJ048
CDSJ108	CDSJ108	CDSJ108
CDSJ167	CDSJ167	CDSJ167
CDSJ106	CDSJ106	CDSJ106
ARI014	ARI014	ARI014
CDSJ032	CDSJ032	CDSJ032
CDSJ321	CDSJ321	CDSJ321
ARI008	ARI008	ARI008
CDSJ344	CDSJ344	CDSJ344
ARI019	ARI019	ARI019
CDSJ417	CDSJ417	CDSJ417
