#Coverage	Number of genomic locations
0.0	7384.0
1.0	1032.0
2.0	1491.0
3.0	419.0
4.0	787.0
5.0	659.0
6.0	1238.0
7.0	336.0
8.0	1139.0
9.0	326.0
10.0	867.0
11.0	512.0
12.0	1032.0
13.0	275.0
14.0	489.0
15.0	513.0
16.0	1066.0
17.0	302.0
18.0	581.0
19.0	698.0
20.0	902.0
21.0	386.0
22.0	831.0
23.0	354.0
24.0	728.0
25.0	387.0
26.0	1357.0
27.0	657.0
28.0	998.0
29.0	297.0
30.0	1085.0
31.0	479.0
32.0	674.0
33.0	306.0
34.0	661.0
35.0	851.0
36.0	622.0
37.0	363.0
38.0	606.0
39.0	560.0
40.0	398.0
41.0	674.0
42.0	548.0
43.0	162.0
44.0	352.0
45.0	407.0
46.0	1107.0
47.0	351.0
48.0	475.0
49.0	382.0
50.0	353.0
51.0	454.0
52.0	572.0
53.0	492.0
54.0	746.0
55.0	479.0
56.0	417.0
57.0	268.0
58.0	722.0
59.0	473.0
60.0	359.0
61.0	338.0
62.0	406.0
63.0	378.0
64.0	449.0
65.0	247.0
66.0	384.0
67.0	311.0
68.0	331.0
69.0	588.0
70.0	535.0
71.0	426.0
72.0	679.0
73.0	148.0
74.0	513.0
75.0	470.0
76.0	630.0
77.0	348.0
78.0	422.0
79.0	334.0
80.0	479.0
81.0	395.0
82.0	304.0
83.0	386.0
84.0	401.0
85.0	173.0
86.0	537.0
87.0	579.0
88.0	268.0
89.0	356.0
90.0	431.0
91.0	530.0
92.0	551.0
93.0	373.0
94.0	275.0
95.0	318.0
96.0	274.0
97.0	142.0
98.0	280.0
99.0	796.0
100.0	381.0
101.0	439.0
102.0	431.0
103.0	276.0
104.0	318.0
105.0	119.0
106.0	239.0
107.0	130.0
108.0	260.0
109.0	196.0
110.0	386.0
111.0	421.0
112.0	214.0
113.0	405.0
114.0	323.0
115.0	275.0
116.0	331.0
117.0	290.0
118.0	772.0
119.0	578.0
120.0	493.0
121.0	309.0
122.0	368.0
123.0	89.0
124.0	266.0
125.0	328.0
126.0	256.0
127.0	205.0
128.0	267.0
129.0	132.0
130.0	351.0
131.0	302.0
