#Duplication rate	Coverage
1.0	4166.0
2.0	1034.0
3.0	367.0
4.0	190.0
5.0	91.0
6.0	68.0
7.0	30.0
8.0	33.0
9.0	18.0
10.0	23.0
11.0	13.0
12.0	24.0
13.0	20.0
14.0	20.0
15.0	15.0
16.0	13.0
17.0	9.0
18.0	7.0
19.0	15.0
20.0	8.0
21.0	9.0
22.0	13.0
23.0	12.0
24.0	11.0
25.0	11.0
26.0	10.0
27.0	9.0
28.0	7.0
29.0	8.0
30.0	5.0
31.0	8.0
32.0	6.0
33.0	6.0
34.0	8.0
35.0	13.0
36.0	6.0
37.0	4.0
38.0	11.0
39.0	7.0
40.0	5.0
41.0	11.0
42.0	8.0
43.0	3.0
44.0	8.0
45.0	8.0
46.0	3.0
47.0	5.0
48.0	6.0
49.0	3.0
50.0	317.0
