#Coverage (X)	Coverage
1.0	91.89640035118525
2.0	90.7638279192274
3.0	89.12752414398595
4.0	88.66769095697981
5.0	87.80399473222126
6.0	87.08077260755049
7.0	85.72212467076383
8.0	85.35338015803336
9.0	84.10338015803336
10.0	83.74561018437225
11.0	82.79411764705883
12.0	82.23222124670764
13.0	81.09964881474978
14.0	80.79784899034242
15.0	80.26119402985076
16.0	79.69820017559263
17.0	78.52831431079895
18.0	78.1968832309043
19.0	77.55926251097455
20.0	76.79323968393328
21.0	75.80333625987709
22.0	75.37971905179982
23.0	74.46773485513609
24.0	74.07923617208078
25.0	73.28028972783143
26.0	72.85557506584723
27.0	71.36633011413521
28.0	70.64530289727831
29.0	69.55004389815628
30.0	69.22410008779632
31.0	68.03336259877085
32.0	67.50768217734856
33.0	66.76799824407374
34.0	66.43217734855136
35.0	65.70676031606672
36.0	64.77282704126426
37.0	64.09021071115012
38.0	63.691834942932395
39.0	63.02677787532924
40.0	62.41220368744513
41.0	61.975417032484636
42.0	61.23573309920983
43.0	60.634328358208954
44.0	60.45654082528534
45.0	60.0702370500439
46.0	59.623573309920985
47.0	58.408691834942935
48.0	58.023485513608435
49.0	57.50219490781388
50.0	57.082967515364366
51.0	56.69556628621599
