#Insert size (bp)	insert size
68.0	1.0
177.0	1.0
185.0	1.0
189.0	1.0
190.0	1.0
201.0	1.0
203.0	1.0
204.0	1.0
205.0	1.0
210.0	1.0
212.0	1.0
216.0	2.0
218.0	2.0
219.0	1.0
220.0	5.0
222.0	2.0
224.0	5.0
225.0	2129.0
226.0	835.0
227.0	1296.0
228.0	220.0
229.0	1250.0
230.0	457.0
231.0	811.0
232.0	650.0
233.0	437.0
234.0	117.0
235.0	470.0
236.0	283.0
237.0	415.0
238.0	319.0
239.0	819.0
240.0	220.0
241.0	407.0
242.0	191.0
243.0	637.0
244.0	86.0
245.0	551.0
246.0	51.0
247.0	720.0
248.0	76.0
249.0	868.0
250.0	425.0
251.0	178.0
252.0	391.0
253.0	503.0
254.0	64.0
255.0	550.0
256.0	115.0
257.0	598.0
258.0	2.0
259.0	208.0
260.0	337.0
261.0	364.0
262.0	77.0
263.0	802.0
264.0	112.0
265.0	565.0
266.0	249.0
267.0	759.0
268.0	327.0
269.0	664.0
270.0	342.0
271.0	883.0
272.0	348.0
273.0	1069.0
274.0	661.0
275.0	1367.0
497.0	7.0
503.0	1.0
504.0	4.0
507.0	2.0
517.0	7.0
518.0	1.0
523.0	1.0
524.0	1.0
525.0	4.0
527.0	12.0
528.0	5.0
529.0	3.0
531.0	6.0
533.0	9.0
534.0	1.0
