logFC	logCPM	PValue	FDR
Saci_1717	3.70387337466806	11.0360749319927	7.90501972943391e-24	7.84968459132788e-21
Saci_1078	3.36113268294571	12.0654248826909	1.57324622528499e-19	7.81116750853998e-17
Saci_2035	-2.89892577072479	9.37404054998175	4.46154202708226e-13	1.47677041096423e-10
Saci_1952	2.39302262010868	9.19171106911304	1.16556326777548e-10	2.43218343031541e-08
Saci_1953	2.15473544789581	11.0675158716528	1.22466436571773e-10	2.43218343031541e-08
Saci_1226	2.37857812604933	11.1335066555032	4.02667597667512e-10	6.66414874139732e-08
Saci_1109	2.00664703056339	8.65478283967008	2.49342597234222e-09	3.5371028436226e-07
Saci_2196	2.00250041741646	8.59509924729957	4.62600528962503e-09	5.51788816439785e-07
Saci_1819	2.23538111618636	9.76639607291095	5.00110709764156e-09	5.51788816439785e-07
Saci_2094	2.26688631451493	8.3712722803644	9.02392957670734e-09	8.96076206967039e-07
Saci_0292	1.94064557236936	8.5736020494486	1.29366249496428e-08	1.16782441590866e-06
Saci_2255	2.09402322460454	9.4606829063032	1.93772312531713e-08	1.60346588619993e-06
Saci_1814	1.82961968743813	8.83033148568838	2.2089739922671e-08	1.68731628793941e-06
Saci_1397	2.24223111078993	8.50532906783144	2.41230957951354e-08	1.70997448379268e-06
Saci_2056	1.90993554118361	8.29215435056075	2.58304302687715e-08	1.70997448379268e-06
Saci_0157	1.98897047769466	8.67202275096347	2.87930042541747e-08	1.78696582652472e-06
Saci_2240	2.1065405757218	9.80912902754514	3.27938184284932e-08	1.91554480585258e-06
Saci_2243	2.11216345317977	8.39848992635046	4.53523508136712e-08	2.50193801988753e-06
Saci_1783	-2.06059216234415	14.3255740401412	7.13481146605097e-08	3.72887778199401e-06
Saci_1843	1.99156873187586	9.3395667839268	1.28160204646718e-07	6.36315416070957e-06
Saci_0098	1.82062921872972	9.15369657869483	1.37589203572888e-07	6.50600376894657e-06
Saci_0385	1.72321419247807	12.3188347010061	1.70699544870958e-07	7.70475672985735e-06
Saci_1982	1.67812978280911	8.71522969360474	2.20151411716805e-07	9.50479790586031e-06
Saci_1857	2.43596470238445	8.68001553691404	2.32602572724133e-07	9.62393144646098e-06
Saci_2182	2.11595807412313	8.14480646321632	2.90342442804425e-07	1.15324018281917e-05
Saci_2076	2.1389451930012	9.77659003206135	4.14550382409414e-07	1.58326357589441e-05
Saci_0301	-1.60661092001869	9.88322760623901	5.95426497568946e-07	2.18984634105912e-05
Saci_2306	1.71654834202191	8.86072184968851	9.60206975823143e-07	3.40530545354422e-05
Saci_0324	1.54523758276893	9.06172119902892	1.13971841964575e-06	3.89544710256855e-05
Saci_0233	1.98271886493684	10.6237061542842	1.17687223642554e-06	3.89544710256855e-05
Saci_1846	1.59228791775098	8.99563346692761	1.56367091693141e-06	5.00879103391255e-05
Saci_2134	1.52004201849481	9.19188051695088	3.68429683576731e-06	0.000112492757163186
Saci_1073	1.50842465927354	10.1806506338478	3.73842999635966e-06	0.000112492757163186
Saci_0513	1.53607422038522	11.3414996681307	4.10642247608897e-06	0.000119931691728128
Saci_1185	1.61805250489466	8.26420676188234	4.2409305666401e-06	0.000120321258647818
Saci_1938	1.50011090693213	10.1583763051178	4.40629486189673e-06	0.000121540299940652
Saci_2028	-1.92644042215796	9.27827101108012	6.25035145855129e-06	0.000167745918874093
Saci_2355	-1.45774151659289	10.8550587487589	7.36683752298733e-06	0.000192507096324379
Saci_0231	1.39210777905625	9.07637390389154	9.87527300762585e-06	0.000251439643501858
Saci_2229	1.34969377934584	8.69310711163567	1.52343592929753e-05	0.000378192969448112
Saci_0488	-1.34700712350236	9.72732184193405	1.63920148515286e-05	0.000397006603599218
Saci_1187	1.3596421259575	9.8937852728925	2.13133895084507e-05	0.00050390942337837
Saci_1272	-1.72236678111697	8.64373821453674	2.93575343974492e-05	0.000677954224573653
Saci_0359	1.43915851871768	10.0555332605496	3.38121178629454e-05	0.000763078023588745
Saci_1849	1.40933438574834	9.81397610543301	4.37906146811828e-05	0.000966312897298101
Saci_2065	1.44418912884095	7.71498329959415	5.21713291230804e-05	0.00112622021346128
Saci_0109	-1.26616707927175	10.3668458549417	6.16984747670964e-05	0.00130354437114312
Saci_1501	-1.63878462253251	10.2333031715942	6.45795316315484e-05	0.00133598906062766
Saci_1162	1.492667749219	8.40089220212082	6.59425582524422e-05	0.00133634612948317
Saci_0141	-1.36573843341398	10.1668629158242	7.3061770092892e-05	0.00145100675404484
Saci_2194	1.23471312807052	8.67722192188443	7.53117012358098e-05	0.00146636312406194
Saci_1647	1.35401171561621	8.24493571229697	8.67656360316961e-05	0.00165089066475225
Saci_2222	1.50185786483693	9.9995549190092	8.81140032546517e-05	0.00165089066475225
Saci_1002	1.31739792382023	8.93087944848364	0.000102145093118541	0.00184495580460773
Saci_1951	1.69468256726555	7.64937380014823	0.000102187884444537	0.00184495580460773
Saci_1172	1.78531999920469	10.2311041939121	0.000109148874541703	0.00193544343606984
Saci_0945	1.34157669472905	9.23966927531633	0.000121398905463303	0.00211235771591312
Saci_2213	1.48988013222794	8.78109732815956	0.000123380410395731	0.00211235771591312
Saci_1183	1.17525412313999	9.06625565500788	0.000158542118749285	0.00266834447318712
Saci_2281	-1.24116814669422	10.3078772669774	0.000164906361962363	0.0027292002904771
Saci_1043	-1.12582621365751	9.35011710500334	0.000197290491983319	0.00318373999613276
Saci_1445	1.27165799497499	8.44520004073838	0.000198783363303354	0.00318373999613276
Saci_1853	1.26551942694864	8.19913379452427	0.000212785381367266	0.00335390291583643
Saci_0511	1.5511301776919	7.8181034515556	0.000216690929747336	0.00336209520686101
Saci_0905	-1.24710598128005	10.3693507768527	0.000224202124936772	0.00342511861634176
Saci_2041	-1.43593212585944	7.15619870358012	0.000270098530402056	0.00406375516195821
Saci_1124	1.71780875133093	7.63692510355441	0.000283037278931126	0.00419486593997922
Saci_2009	1.20593347562446	9.85125661716751	0.000388592517851739	0.00567459367980554
Saci_0569	1.35989781347855	7.5612833108321	0.000409325552471667	0.00589072860296182
Saci_0209	1.17668265051326	9.64321138859249	0.000446205488509833	0.00632974357271805
Saci_2073	1.25352784347323	7.68331804079904	0.000459023537821046	0.00641986440924365
Saci_0817	-1.42617864637077	8.41517382267838	0.000469932741622008	0.00648115572820352
Saci_1120	1.28808400304745	8.10208871519323	0.000572764251146517	0.00779116303271906
Saci_0004	-1.20718856716933	12.6809031931233	0.000617169280820287	0.00828174453857493
Saci_2007	1.11950615528849	8.63881006598552	0.000627592781934313	0.00830932843281031
Saci_1114	1.3216396567491	8.76812600905089	0.000638359778866744	0.00834067447914049
Saci_1023	1.15144378618432	10.0295837384558	0.000805976820643393	0.0103939608168687
Saci_1115	1.19546096751825	10.060735389592	0.000833592226557821	0.0106122702688707
Saci_1270	1.19639590649727	10.1686753826701	0.00101231785053333	0.0127244509567038
Saci_1823	1.22568430960162	8.07432086946281	0.00102846928103158	0.0127658749508045
Saci_1380	-1.15644114057977	9.36255529546197	0.00109849129829019	0.0134666896197797
Saci_0190	-1.56289435527558	9.32261466248357	0.00114085243567936	0.0138154447393854
Saci_1508	-1.1201137027719	9.97874777245002	0.00135081824035611	0.0161609941285978
Saci_1419	1.43125156796401	7.9340166107698	0.00137375100614393	0.0162396993940585
Saci_0885	1.3766090219501	9.67723843331657	0.00162023505000979	0.0189281577018791
Saci_0238	1.07110279852578	8.94015579813004	0.00167221653982814	0.019308267721504
Saci_0135	0.993884665831279	8.87823248600135	0.00173495061772925	0.0198023673954615
Saci_1135	-1.09242155427123	13.3756645245602	0.00183306210866967	0.0205387248834019
Saci_1103	1.27377062249971	8.34038428574155	0.00184083234100984	0.0205387248834019
Saci_1903	1.20983509891242	8.50247797303031	0.00202356448377344	0.0219431473426872
Saci_1196	1.28507135595568	7.69765269352045	0.00202543340980671	0.0219431473426872
Saci_0376	-1.03528495470309	8.54151509260324	0.00206242163331255	0.0219431473426872
Saci_0103	0.998128225739935	12.3940585893616	0.00206640234183951	0.0219431473426872
Saci_0031	-1.51430452382463	10.4367357626202	0.00207719622377905	0.0219431473426872
Saci_1376	-1.11687862229055	10.0303848518513	0.00212381234105074	0.0221994279438251
Saci_1048	-1.36365809035931	8.11089235920841	0.0021479013302804	0.0222173543850879
Saci_1760	-1.17314615135352	9.02928148078511	0.00221727992883103	0.0226985460755589
Saci_0658	-0.96207832665383	10.3712057282808	0.00236387126890277	0.0239522874491882
Saci_0367	-0.953730720661464	10.8362375057112	0.00251494487417977	0.0249838637565747
Saci_0461	1.14327162408324	7.68076398060614	0.00251599836420692	0.0249838637565747
Saci_1682	1.02052387404993	11.6126919441559	0.00255716709926623	0.0251412567284293
Saci_2172	0.969865418019158	8.77238585984843	0.00280224527150969	0.0272806819079326
Saci_1298	-0.978916457971614	9.07535500165767	0.00290427408207825	0.0279994578980942
Saci_0013	-0.945967836237095	10.1173385160928	0.00322597074215053	0.0308018167976488
Saci_0377	-0.901360798745249	10.5424887325745	0.00326847090437865	0.0309103962671238
Saci_0166	0.881100329151349	9.28870534814451	0.00338480359813467	0.0317085846504503
Saci_1777	0.970654650618447	8.45211804563275	0.00345687362255574	0.032081079506522
Saci_1906	1.12065702573543	8.13780451544683	0.00390842811517756	0.0359358251701048
Saci_0631	0.968837648257125	8.21287889712806	0.00418049924050019	0.0380847316129972
Saci_2171	1.24823052189633	7.32736800934951	0.00466489040141591	0.0421112378964182
Saci_1352	-0.883419431126016	8.6823403947724	0.00510790809058653	0.0456669383533874
Saci_2206	1.07227483468721	8.08126856470596	0.00515075236211418	0.0456669383533874
Saci_1943	0.992714860109798	8.80460907105752	0.00520025574256937	0.0456978225873574
Saci_1622	-1.13069994194516	10.7282056015606	0.00535719796435274	0.0466640138473883
Saci_1221	-0.978341385552905	7.79286696483823	0.00551636183860874	0.0476325852672911
Saci_1433	-0.839435308696265	9.59418248107499	0.00611437980929788	0.0523217913988562
Saci_1720	-0.922119067808694	12.0573454707473	0.00616480321617943	0.0523217913988562
Saci_1160	0.955444632481868	7.69939589443114	0.00635133965639037	0.0534481379558952
Saci_1131	0.87469504284562	8.85477803729348	0.00652552769767604	0.0540677954358407
Saci_0866	0.914950992363008	9.73305787256671	0.00653387256022244	0.0540677954358407
Saci_1747	-0.848666761325077	12.5872026079626	0.0066150310714603	0.0540913749440534
Saci_0297	-0.835491379947849	9.87298439983764	0.00664566741508008	0.0540913749440534
Saci_0329	-0.998586899539375	7.67671548750341	0.0067988143056159	0.0548879886624113
Saci_0925	1.11957039993171	7.74203821118382	0.0068951274033062	0.0552166250926053
Saci_0045	-0.828591112786904	13.3323455179417	0.00699394765047817	0.0555599201353986
Saci_1603	-0.900257972917063	10.2074650291507	0.00732599796395943	0.0575642556810896
Saci_0153	-0.824309917903189	10.8162229575652	0.00736219584239514	0.0575642556810896
Saci_2116	0.936785644834642	9.15191203628784	0.00752052379082334	0.0581950450890387
Saci_0661	-0.858678851291943	9.25160699945384	0.00756008138618931	0.0581950450890387
Saci_1240	0.843148180398309	10.0178632351876	0.00832762161709105	0.0636102174290108
Saci_0568	0.808765165783836	11.5432945888455	0.00851206920266277	0.0645227841087339
Saci_0358	1.12238780323637	10.9751237159525	0.008910601857213	0.0668234280924719
Saci_2155	0.995114831565183	8.29559124304232	0.00895016710604105	0.0668234280924719
Saci_1213	0.964547469090007	7.55219848515908	0.0091658184704551	0.0679228189638949
Saci_1670	0.816030550515473	8.83467449139616	0.00938196903150672	0.0690095944317494
Saci_1239	-1.1920133259319	8.55918164001805	0.00949855880235404	0.0693534477260115
Saci_0447	0.934220965179794	10.3613094358874	0.010116355207378	0.073163973945238
Saci_1681	-0.795612782215424	10.8189589607892	0.0101678030256222	0.073163973945238
Saci_1736	-1.1598694365761	8.43493025130675	0.0102805639368487	0.0734431653905809
Saci_1371	-0.841236393248059	11.6476798753104	0.01052603560055	0.0742486527794214
Saci_2296	-0.770802105410236	8.79488867945014	0.0105428600623348	0.0742486527794214
Saci_0355	0.89958132996998	7.73787286317273	0.0106817849570967	0.0746972708619506
Saci_2016	1.03304423750869	12.1453885625068	0.0111913509534548	0.0777133671103539
Saci_0484	0.753425805985107	9.2451538551978	0.0115682118498279	0.0797724608811048
Saci_1403	-0.76651325002907	8.50891818812658	0.0119789752694069	0.0820353271898004
Saci_0108	-0.742734795941958	10.4652648059194	0.0130275803518714	0.0882473207691032
Saci_1544	-0.794044294965026	10.7301903894712	0.0130638027724654	0.0882473207691032
Saci_2354	-0.770420122396193	8.54565691895647	0.0132141291700085	0.0883177634547275
Saci_2082	0.917273084046759	8.18348781875218	0.0132521115355029	0.0883177634547275
Saci_0333	0.870591605136858	9.06341192587574	0.0135127589514827	0.0889117146816695
Saci_2102	0.867247507143502	8.24494501893624	0.0135203110945943	0.0889117146816695
Saci_1408	-0.758149142944733	10.2577688677233	0.0138948779827868	0.0907737752428111
Saci_1216	-0.860602965672692	9.05429818400363	0.0143271994072274	0.0921428357012571
Saci_1125	1.00037692647077	7.62442036045231	0.0143688341439076	0.0921428357012571
Saci_0556	-0.806932831659724	9.23560881585995	0.0144127460021015	0.0921428357012571
Saci_2084	0.953430322353734	7.39036841075852	0.01455182176991	0.0921428357012571
Saci_1636	0.92366527315452	8.20951510168852	0.0145684040333307	0.0921428357012571
Saci_1948	0.807991777352423	8.19948787642341	0.0148799234454448	0.0933243601205997
Saci_0068	-0.801314373074043	11.0217468055174	0.0149431754875885	0.0933243601205997
Saci_1319	-0.740919047828521	8.7296540849174	0.0150710508285292	0.0935347092045591
Saci_0730	-0.81594331924516	15.1321747174367	0.0151920142335512	0.0936998144963745
Saci_1259	0.808224951010188	11.8528266617438	0.0156156390639662	0.0957180838920889
Saci_0460	-0.764773621129579	11.7372245577293	0.0159477203887774	0.0971539039635336
Saci_0384	-0.729867919158858	10.3583305585903	0.0172504699437291	0.104449491793433
Saci_0203	0.758050690931393	8.62602837478249	0.0174689608173137	0.105131382373288
Saci_1523	0.937663245456883	7.38253151113772	0.0184645385891733	0.110453535054513
Saci_0424	-0.76439872528051	10.2458001584081	0.0188902256646842	0.11232331787444
Saci_0769	-0.774567921132651	10.5954504887207	0.0191710969975351	0.113314876896145
Saci_0957	-0.821853377742289	9.23270176734239	0.0195192996933756	0.114690323050426
Saci_0712	-0.729828692098777	10.1501634130974	0.0198913061248364	0.116188629305662
Saci_1809	0.760750768155147	8.57932839391392	0.0203842675586046	0.118371799331546
Saci_1646	0.722923404967192	10.7113210155887	0.0209718003283067	0.120649350696651
Saci_0918	-0.693850753228978	13.1019364105914	0.0210194739884396	0.120649350696651
Saci_1538	-0.883224132918815	7.69640987560527	0.0215835619696063	0.123175155378271
Saci_0864	-0.724384368661456	8.9374429783677	0.0218025669667703	0.123601554395395
Saci_1351	-0.762234250660311	11.282013100286	0.0219072241425877	0.123601554395395
Saci_0318	0.835856660591652	8.43548834205911	0.0222369413348573	0.124022450982188
Saci_2307	0.753437823764253	12.0499078439468	0.0223319790906819	0.124022450982188
Saci_0720	-0.746281724565694	7.68615838256058	0.0223565143260943	0.124022450982188
Saci_2118	0.699027547508808	8.97343906167625	0.0227118423411204	0.125293663581848
Saci_2132	-0.691628486449551	10.4588478991428	0.0235639825869961	0.12927643485573
Saci_1604	-0.716794140326416	10.7343474745199	0.0245283501494079	0.133827756584407
Saci_0838	0.842253341518049	7.43872496229719	0.0249287921481663	0.135269347558083
Saci_1658	-0.741423658876691	10.2126913240082	0.0250729010673609	0.135311906303746
Saci_2367	-0.660655455459476	9.41228806709115	0.0253788668158465	0.136222782422355
Saci_2239	0.686978588500343	8.66179790189706	0.0257096824747626	0.136686048872387
Saci_0797	-0.920210092006938	11.2091611063894	0.0257404744603589	0.136686048872387
Saci_1357	-0.679839051665845	12.5898950148749	0.0263723796389178	0.139296664794922
Saci_0266	-0.696001351257625	9.2457498887565	0.0267702529819916	0.139781221532913
Saci_1366	-1.04555410783945	6.63800534220642	0.0268716288141785	0.139781221532913
Saci_0107	0.790778441422025	7.4748600711912	0.0268864182404696	0.139781221532913
Saci_1770	-0.827185277012619	7.33733579478654	0.0272799841748606	0.140567420494155
Saci_2137	0.887511484694533	7.71414696983885	0.027320757457575	0.140567420494155
Saci_0818	-0.83040785978499	9.61354145021449	0.027590794244346	0.141225044766163
Saci_1656	-0.679997115173442	11.3457909900723	0.0279350178457474	0.142253706260652
Saci_0341	-0.678272776546426	10.5220309638222	0.0282603373352058	0.143176096805405
Saci_0836	-0.676395677141646	9.70334864546496	0.0286730864754413	0.143847121476508
Saci_2310	-0.783882675198273	15.7528263616919	0.0286825076055876	0.143847121476508
Saci_1645	0.700800835361689	8.56921817323795	0.0296365392299687	0.147884841484215
Saci_0721	-0.902851124212807	9.85646196589082	0.0302081344621579	0.149983387604614
Saci_1182	0.696508996933556	8.78470013000426	0.0307738350928949	0.152031931578331
Saci_0370	-0.765109106028724	7.82411646651046	0.0315196791482652	0.154945749476373
Saci_1040	-0.640393233144487	8.76709450568589	0.0318041010292593	0.155573755281057
Saci_1859	0.798170334505032	7.35254544443586	0.0323135941838692	0.157291171689128
Saci_1565	-0.685857737640966	10.304670124774	0.0325473627234218	0.157656249679794
Saci_0315	0.823458187334743	7.38530615679624	0.0338887127536066	0.163356756137531
Saci_1725	0.6888448070105	8.18860225896555	0.0342330654028842	0.163436185290158
Saci_0529	-0.723081628814877	10.1276343649236	0.0342837553745839	0.163436185290158
Saci_1058	-0.644054758261739	8.74333995655452	0.0343989554135378	0.163436185290158
Saci_0988	-0.667135268171516	11.4359780626059	0.0350263026328843	0.165624373878353
Saci_0491	0.826178857260895	7.74346710098352	0.0354286911623705	0.166733129498739
Saci_0731	0.650752517151571	9.32205618906404	0.0356770459966368	0.167109937144624
Saci_1228	-0.707850254711089	11.9906722522417	0.0360295001311565	0.167968514695955
Saci_0042	0.717617660275408	8.76327495746168	0.0366726062268589	0.170167747585378
